store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
4835427031092912542,5362.182074233332,10724.364148466664,0,0,0,0
2117250477748519422,0,0,0,10904.845172166668,10904.845172166668,10904.845172166668
4661298652185647747,0,0,0,0,0,0
1686530356403499403,0,0,0,0,0,0
2669415856469234059,14987.062341599994,29974.124683199992,0,0,0,0
1137297385488639192,1495.317280166667,2990.6345603333334,0,5560.990708633334,5560.990708633334,5560.990708633334
7988087393647335944,11041.035175399998,22082.070350800004,0,0,0,0
6755492033874402478,0,0,0,0,0,0
8632813222533753059,13720.739999083331,27441.479998166666,0,0,0,0
3324057671529967643,9475.016735033332,18950.033470066675,0,0,0,0
6309168059639363653,11762.910341583332,23525.82068316669,0,0,0,0
7603111374779490975,9920.755406716671,19841.51081343332,0,2925.0273107,2925.0273107,2925.0273107
8536850193639279955,0,0,0,0,0,0
4370061327177541416,0,0,0,9190.687911950003,9190.687911950003,9190.687911950003
7649760999742649319,14477.362328466668,28954.724656933304,0,0,0,0
7858459700456900672,13844.123238249998,27688.246476499993,0,0,0,0
743534993607244086,11509.534213583334,23019.06842716667,0,0,0,0
485685462865038205,0,0,0,0,0,0
2911301616998845670,11930.470283866662,23860.940567733345,0,96.72583791666666,96.72583791666666,96.72583791666666
8341388353245521057,13237.637156966672,26475.274313933343,0,0,0,0
6262780787050351997,11368.68370258333,22737.36740516667,0,0,0,0
6626846436260865756,16895.09631296668,33790.19262593332,0,0,0,0
971075299084784137,13906.243193199996,27812.486386399993,0,0,0,0
6503912314799245222,12681.338112849997,25362.676225700015,0,0,0,0
8826154421260372565,16509.21460678334,33018.429213566626,0,395.6058177166667,395.6058177166667,395.6058177166667
2069170439602889497,7339.443535433334,14678.88707086667,0,0,0,0
7743159519557964912,10883.97458316667,21767.94916633333,0,0,0,0
8899452647403678139,9334.33407175,18668.668143500003,0,0,0,0
4149404683550340201,0,0,0,0,0,0
8937336970477990571,9519.514236949999,19039.028473900013,0,0,0,0
7039599947618876202,14443.688359016665,28887.37671803333,0,0,0,0
327950348653727288,0,0,0,0,0,0
5759273665521394087,11993.673839333329,23987.347678666643,0,60.48453236666667,60.48453236666667,60.48453236666667
1260186185512093034,11122.462024216667,22244.92404843335,0,0,0,0
2684656762078185716,0,0,0,0,0,0
5639223453832777366,0,0,0,0,0,0
299331931566263572,0,0,0,0,0,0
8685934247176820207,10479.163002399999,20958.326004800016,0,0,0,0
242679649744503405,0,0,0,0,0,0
5302081913619141580,353.5139840666667,707.0279681333334,0,9366.101218483336,9366.101218483336,9366.101218483336
4244379278388069568,0,0,0,0,0,0
5806307676393966810,14948.822873149995,29897.645746300008,0,0,0,0
5510468561046480493,0,0,0,0,0,0
8411611554566094086,17688.89861600001,35377.79723200001,0,0,0,0
1882494204158499780,10813.567502766666,21627.13500553334,0,0,0,0
3180329078858674822,8901.040071516665,17802.080143033338,0,238.06280495,238.06280495,238.06280495
494632464277657045,8974.482013833334,17948.964027666665,0,0,0,0
748329944500144174,0,0,0,4285.4098042333335,4285.4098042333335,4285.4098042333335
